Team,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Moniter HZ,GPU,Resolution,Mousepad,Keyboard,Headset
FPX,ANGE1,Logitech G Pro X Superlight,"1,000",800,0.5,400,1,BenQ XL2546,240,RTX 2080 Ti,1280x960,Razer Goliathus Speed,Wooting 60 HE,HyperX Cloud Revolver
FPX,Shao,Xtrfy M4 Wireless,"1,000",400,0.428,171,1,BenQ XL2546,240,RTX 2080 Super,1920x1080,VAXEE PA Black,HyperX Alloy FPS,HyperX Cloud II
FPX,ardiis,Logitech G Pro X Superlight,"1,000",800,0.295,236,1.14,AOC AG251FZ2E,240,RTX 2080,1920x1080,Artisan Hien FX Soft,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
FPX (B),rhyme,VAXEE ZYGEN NP-01,"1,000",400,0.5,200,1,BenQ XL2546,240,RTX 3080,1280x960,Zowie G-SR-SE Deep Blue,Xtrfy K4-RGB TKL,HyperX Cloud II
FPX,Zyppan,Logitech G Pro X Superlight Black,"1,000",800,0.3,240,1,,NA,GTX 1080 Ti,1920x1080,Zowie G-SR-SE Rouge,,
FPX,Suygetsu,Razer DeathAdder V3 Pro White,"1,000",800,0.25,200,1.1,BenQ XL2411,144,GTX 1070,1920x1080,VAXEE PA Y22,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
Paper Rex,f0rsakeN,Logitech G Pro X Superlight,"1,000",800,0.712,569,1,BenQ XL2546K,240,GALAX GTX 1080 Ti,1920x1080,Zowie G-SR-SE Rouge,HyperX Alloy Origins Core,HyperX Cloud II
Paper Rex,d4v41,Logitech G Pro X Superlight,"1,000",900,0.65,585,1,BenQ XL2546,240,GTX 1080 Ti,1440x990,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,Razer HammerHead Pro V2
Paper Rex,Jinggg,FinalMouse Starlight 12,"1,000","1,600",0.188,300,1,BenQ XL2546K,240,RTX 2080 Ti,1280x960,Artisan FX Zero Soft,HyperX Alloy Origins Core,Logitech G Pro X Headset
Paper Rex,Benkai,Pulsar X2,"1,000",800,0.25,200,0.7,BenQ XL2546K,240,RTX 2070 Super,1280x960,Artisan Hien FX Soft,Ducky One 2 Mini RGB,EPOS H6PRO White
Paper Rex,mindfreak,VAXEE XE White,"1,000",400,0.5,200,0.9,BenQ XL2546K,240,,1920x1080,VAXEE PA Summer22,HyperX Alloy Origins Core,
OpTic,yay,Logitech G Pro X Superlight Black,"1,000",800,0.27,216,1,BenQ XL2546,240,RTX 3090,1920x1080,Artisan Hayate Otsu XSoft,Wooting 60 HE,Razer BlackShark V2
OpTic,crashies,Razer DeathAdder V3 Pro,"1,000",800,0.25,200,0.875,BenQ XL2546,144,GTX 1080,1920x1080,Razer Strider,Razer Blackwidow V3 TKL,Razer BlackShark V2
OpTic,Victor,Logitech G703,"1,000",800,0.283,226,1,BenQ XL2546,240,RTX 2080,1920x1080,Razer Strider,Razer Blackwidow V3 TKL,Razer BlackShark V2
OpTic (L),Marved,Razer Viper V2 Pro,"1,000",800,0.306,244,1,BenQ XL2540,240,RTX 3080,1920x1080,Razer Strider,Razer Blackwidow V3 TKL,Razer BlackShark V2
